"state","county","loaccgro","fasfoo","relprimilk","diab","obesrate","fitplace","povrate","medinc"
"CO","Huerfano",36.653517,1.083256,0.940068,7.6,20.1,0.154751,23.2,33098
"CO","Jackson",27.420019,1.432665,0.940068,6.6,21.4,0,13.9,46905
"CO","Jefferson",22.75838,0.814678,0.746075,5.4,18.3,0.137869,7.9,71209
"CO","Kiowa",100,1.426534,0.940068,7.7,19.5,0,13.9,42108
"CO","Kit Carson",11.1372,0.867195,0.940068,7.3,27.6,0,12.2,44090
"CO","La Plata",14.312578,1.259516,0.940068,4.8,16.3,0.166701,9.4,60732
"CO","Lake",19.915272,1.35925,0.746075,5.4,17.5,0.135925,15.7,45913
"CO","Larimer",18.899331,0.873128,0.746075,5.2,18.7,0.129581,12.2,64935
"CO","Las Animas",39.86443,0.853971,0.940068,7.7,21,0.284657,19.3,38858
"CO","Lincoln",22.801384,1.451906,0.746075,7.6,23.8,0,19.4,43188
"CO","Logan",19.541695,0.665956,0.746075,7,25.4,0.088794,15.5,46306
"CO","Mesa",31.456789,0.661023,0.940068,7.2,23.5,0.074196,14.1,51449
"CO","Mineral",12.796658,7.163324,0.940068,6.8,18.1,0,9.4,50481
"CO","Moffat",23.416014,1.160272,0.746075,6.3,25.8,0.077351,11.7,59173
"CO","Montezuma",16.432907,1.435667,0.940068,6.5,21.7,0,19.3,42975
"CO","Montrose",20.511668,0.758447,0.940068,8.1,19.7,0.12233,17.7,46860
"CO","Morgan",11.982313,0.882519,0.746075,7.4,26.9,0.105902,12.1,49087
"CO","Otero",29.620602,0.919515,0.940068,6.8,26.9,0,20.6,34970
"CO","Ouray",6.164992,3.888529,0.940068,6.7,18.6,0,9.4,60402
"CO","Park",53.863198,0.917712,0.746075,6.7,20.5,0,9.2,63319
"CO","Phillips",4.713433,1.833601,0.940068,7.8,22.8,0.2292,11.1,48562
"CO","Pitkin",9.146742,4.368546,0.940068,5.1,14.9,0.397141,7,76663
"CO","Prowers",23.881932,0.498587,0.940068,8.4,26.1,0.166196,19.6,41348
"CO","Pueblo",36.875794,0.796911,0.746075,9.1,25.9,0.080309,19.8,40540
"CO","Rio Blanco",8.584267,1.341882,0.940068,6,22.6,0,9.7,61426
"CO","Rio Grande",12.187454,1.033859,0.940068,6.9,23.2,0.086155,17.2,40259
"CO","Routt",22.349424,2.891263,0.746075,4.1,14.3,0.251414,8.9,70989
"CO","Saguache",20.226927,0.645578,0.940068,7,19.7,0,29.6,34209
"CO","San Juan",99.24281,13.888889,0.940068,6.7,19.3,0,15.6,43489
"CO","San Miguel",9.766183,3.826531,0.940068,5,16.7,0.127551,11,62793
"CO","Sedgwick",18.56662,1.703578,0.940068,8,22.1,0,13.6,40325
"CO","Summit",18.485408,4.013059,0.746075,4.1,13.1,0,8.7,69633
"CO","Teller",12.863822,0.897858,0.746075,6.9,20.3,0.128265,8.8,66191
"CO","Washington",51.620869,0.41841,0.746075,6.5,23.2,0,11.4,47592
"CO","Weld",14.673685,0.551014,0.746075,6.4,26,0.079231,11.3,69434
"CO","Yuma",22.90698,1.27426,0.940068,6.1,24.8,0,14.1,48934
"CT","Fairfield",29.314963,1.022806,1.217211,7.6,21.4,0.224235,9,86297
"CT","Hartford",28.991605,0.873066,1.163639,9.6,26.8,0.143655,11.1,69260
"CT","Litchfield",18.247623,1.070311,1.163639,6.7,23.9,0.102707,7.4,70847
"CT","Middlesex",31.460337,1.067035,1.163639,8.4,24.1,0.133379,6.7,82878
