"state","county","loaccgro","fasfoo","relprimilk","diab","obesrate","fitplace","povrate","medinc","males","totpop","area"
"SD","Walworth",28.691216,0.907276,0.948594,10.7,28.4,0,14.8,44480,2655,5438,708.63
"SD","Yankton",27.171238,0.969847,0.948594,7.9,30,0.176336,13.6,48991,11556,22438,521.16
"SD","Ziebach",37.382767,0.353857,0.948594,16.5,42,0.353857,47.1,33239,1358,2801,1961.27
"TN","Anderson",29.846271,0.476644,1.136671,12.3,31.7,0.079441,19.7,44488,36308,75129,337.16
"TN","Bedford",13.710902,0.47183,0.970305,11.5,32.1,0.042894,17,44734,22357,45058,473.64
"TN","Benton",13.471586,0.867142,0.970305,14.3,32.4,0,20.5,36201,8073,16489,394.14
"TN","Bledsoe",3.072475,0.143565,1.136671,12.5,32.7,0,26.1,39730,6964,12876,406.43
"TN","Blount",34.424387,0.569895,1.136671,13.7,34,0.055406,13.1,49532,59559,123010,558.71
"TN","Bradley",29.765774,0.53411,1.136671,14.3,34.9,0.077689,18.1,43772,48176,98963,328.76
"TN","Campbell",19.133931,0.300616,1.136671,13.4,32.5,0.050103,26.2,33092,19861,40716,480.19
"TN","Cannon",2.317469,0.363451,0.970305,12.9,33.3,0,16.4,43864,6831,13801,265.64
"TN","Carroll",8.707671,0.599225,0.970305,14.6,32.4,0.070497,21.1,38412,13776,28522,599.25
"TN","Carter",41.299626,0.369159,1.136671,14.2,31.8,0,23.6,35053,28097,57424,341.2
"TN","Cheatham",1.115928,0.352077,0.970305,12.3,33.8,0.025148,10.6,56447,19535,39105,302.44
"TN","Chester",12.98069,0.517866,0.970305,14.7,32,0.057541,19,43452,8273,17131,285.74
"TN","Claiborne",21.283901,0.253229,1.136671,14.8,30.8,0.031654,21.6,35193,15779,32213,434.58
"TN","Clay",0.137086,0.515132,0.970305,13.9,31.3,0,23.7,32750,3897,7861,236.54
"TN","Cocke",21.254184,0.763272,1.136671,15.8,34.4,0.056539,26.4,31355,17308,35662,434.57
"TN","Coffee",17.190543,0.801895,0.970305,13.1,35.9,0.111892,15.9,44452,25655,52796,428.96
"TN","Crockett",0.747149,0.204527,0.970305,13.8,33,0,19.1,38474,6997,14586,265.54
"TN","Cumberland",19.19198,0.603604,1.136671,18.2,29.2,0.051737,16.7,39472,27381,56053,681.03
"TN","Davidson",21.913171,0.963571,0.970305,10.6,30.9,0.121195,17.1,51999,303540,626681,504.03
"TN","Decatur",7.617387,0.857192,0.970305,15,36.3,0.085719,19.4,38771,5798,11757,333.85
"TN","DeKalb",2.114517,0.518995,0.970305,14.4,31.8,0,20.2,43804,9270,18723,304.35
"TN","Dickson",12.860726,0.672269,0.970305,12.6,35.9,0.07909,16.4,47621,24384,49666,489.9
"TN","Dyer",33.160437,0.474496,0.970305,15.8,37.2,0.105444,22.5,43391,18469,38335,512.33
"TN","Fayette",5.81412,0.461408,0.970305,17.6,31.1,0,13.8,56710,19047,38413,704.79
"TN","Fentress",0.20673,0.280034,1.136671,14.6,35.5,0,25.7,31824,8853,17959,498.61
"TN","Franklin",19.854883,0.603836,0.970305,13.1,30.9,0.096614,15,47286,20027,41052,554.54
"TN","Gibson",12.158381,0.545763,0.970305,13.1,32.3,0.121281,15.7,40789,23668,49683,602.74
"TN","Giles",11.836725,0.415901,0.970305,14.4,32.1,0.034658,16.1,42207,14379,29485,610.93
"TN","Grainger",0,0.262421,1.136671,14.4,35,0,18.7,38103,11286,22657,280.6
"TN","Greene",9.428377,0.643887,1.136671,12.3,29.8,0.014634,18,36309,33766,68831,622.17
"TN","Grundy",0.988281,0.297952,1.136671,15.2,31.3,0.074488,26.1,33595,6785,13703,360.53
"TN","Hamblen",44.143791,0.507646,1.136671,13.9,30.8,0.015864,19,39566,30453,62544,161.18
"TN","Hamilton",41.156664,0.85986,1.136671,12.2,30.2,0.145208,15.2,48943,161906,336463,542.43
"TN","Hancock",0.975797,0.300436,1.136671,13,30.6,0,30.1,27987,3366,6819,222.34
"TN","Hardeman",27.406377,0.308107,0.970305,14.7,37.8,0.11554,24.2,37729,14816,27253,667.77
"TN","Hardin",14.024593,1.082335,0.970305,13.8,31.9,0.154619,22.7,36765,12678,26026,577.32
"TN","Hawkins",20.117771,0.387768,1.136671,14.4,32.9,0.017626,21.2,38708,27829,56833,486.98
"TN","Haywood",15.931109,0.494913,0.970305,15.3,38.4,0.05499,22.5,35216,8845,18787,533.11
"TN","Henderson",12.689071,0.428434,0.970305,15.9,34.8,0.142811,17.5,41328,13362,27769,520.07
"TN","Henry",19.052941,0.745249,0.970305,14,33.7,0.062104,19.1,38328,15633,32330,562.1
"TN","Hickman",11.24321,0.410105,0.970305,12.2,32.1,0,20.4,39682,12954,24690,612.5
"TN","Houston",2.542724,0.84674,0.970305,15.2,33.2,0,19.5,39999,4144,8426,200.29
"TN","Humphreys",6.508291,0.937414,0.970305,14.1,35.6,0,15.9,43657,9115,18538,530.98
"TN","Jackson",0.01378,0.259336,0.970305,13.8,34.7,0,23.6,34651,5810,11638,308.32
"TN","Jefferson",5.147831,0.47459,1.136671,12.3,34.2,0,16.8,42669,25245,51407,274.08
"TN","Johnson",12.472919,0.727924,1.136671,14.1,29.2,0.055994,27.2,33402,9833,18244,298.48
"TN","Knox",36.51774,0.71326,1.136671,11.2,29.7,0.098073,15.6,52136,210085,432226,508.22
"TN","Lake",0.187706,0.655222,0.970305,13.5,37.5,0,43.1,29908,4987,7832,165.78
"TN","Lauderdale",8.617953,0.219122,0.970305,15.4,38.3,0,26.2,34715,14603,27815,471.99
"TN","Lawrence",7.452303,0.473104,0.970305,14.2,34,0,18.9,40076,20432,41869,617.13
"TN","Lewis",3.47585,0.335965,0.970305,14.5,34.3,0,17.9,38198,5954,12161,282.09
"TN","Lincoln",14.757672,0.683771,0.970305,14.2,32.1,0.089188,16,43694,16268,33361,570.34
"TN","Loudon",30.134108,0.472711,1.136671,13.3,27.5,0.098481,13.5,52787,23828,48556,229.22
"TN","Macon",3.370551,0.347781,0.970305,14.2,34.2,0,18.5,37865,10959,22248,307.14
"TN","Madison",23.645959,0.804661,0.970305,14.2,34.3,0.132413,18.1,46694,46648,98294,557.12
"TN","Marion",10.196199,0.739254,1.136671,15.9,32.9,0.035203,19,41090,13871,28237,498.16
"TN","Marshall",12.193911,0.319806,0.970305,14.4,31.3,0.063961,13.8,46788,14965,30617,375.46
"TN","Maury",18.606646,0.619774,0.970305,11.9,33.6,0.070163,13.2,50868,39155,80956,613.14
"TN","McMinn",13.055807,0.513054,1.136671,14.1,33.7,0,23,39207,25387,52266,430.13
"TN","McNairy",9.847836,0.609129,0.970305,16.9,38.6,0,18.9,37337,12804,26075,562.86
"TN","Meigs",1.508531,0.598239,1.136671,14.2,27.9,0,20.2,41061,5847,11753,195.12
"TN","Monroe",4.310162,0.619017,1.136671,14.7,35.5,0.044215,18.6,37867,22021,44519,635.57
